idx,dis,dis_value,par,q_home,q_away
1,1312,,,,
2,,,,0.0,0.0
3,,,,0.0,0.0
4,4096,,1,,
5,720,,1,,
6,1324,,4,,
7,240,,4,,
8,262,,6,,
9,960,,6,,
10,1944,,8,,
11,1476,,8,,
12,1553,,10,,
13,1304,,10,,
14,2191,,12,,
15,1953,,12,,
16,4737,,14,,
17,1305,,14,,
18,1120,,9,,
19,836,,9,,
20,4097,,7,,
21,3156,,7,,
22,1622,,5,,
23,492,,5,,
24,417,,16,,
25,4596,,16,,
26,1635,,24,,
27,2720,,24,,
28,1319,,20,,
29,4899,,20,,
30,2579,,22,,
31,,,22,1.0,0.0
32,1391,,26,,
33,4973,,26,,
34,97,,32,,
35,2359,,32,,
36,1555,,13,,
37,2817,,13,,
38,1237,,18,,
39,1040,,18,,
40,1699,,29,,
41,655,,29,,
42,3617,,30,,
43,2437,,30,,
44,2834,,27,,
45,495,,27,,
46,1554,,25,,
47,4415,,25,,
48,2822,,15,,
49,1840,,15,,
50,663,,19,,
51,736,,19,,
52,3373,,28,,
53,1636,,28,,
54,1550,,42,,
55,1391,,42,,
56,3542,,34,,
57,1387,,34,,
58,2434,,35,,
59,1938,,35,,
60,2816,,33,,
61,1468,,33,,
62,1388,,11,,
63,3794,,11,,
64,1140,,39,,
65,1463,,39,,
66,837,,41,,
67,1384,,41,,
68,1293,,21,,
69,20,,21,,
70,1403,,56,,
71,2640,,56,,
72,2193,,70,,
73,1321,,70,,
74,4900,,48,,
75,2279,,48,,
76,1220,,38,,
77,1465,,38,,
78,1797,,40,,
79,1760,,40,,
80,4359,,54,,
81,4602,,54,,
82,1310,,62,,
83,,,62,1.0,0.0
84,897,,50,,
85,400,,50,,
86,671,,23,,
87,4818,,23,,
88,2179,,59,,
89,1472,,59,,
90,1395,,60,,
91,1315,,60,,
92,1318,,46,,
93,1394,,46,,
94,2736,,74,,
95,,,74,1.0,0.0
96,2591,,72,,
97,1463,,72,,
98,1381,,17,,
99,,,17,1.0,0.0
100,1399,,36,,
101,1394,,36,,
102,2441,,57,,
103,2439,,57,,
104,5082,,94,,
105,2358,,94,,
106,1463,,84,,
107,1549,,84,,
108,1840,,66,,
109,1387,,66,,
110,,,47,1.0,0.0
111,4256,,47,,
112,1464,,64,,
113,4359,,64,,
114,3959,,67,,
115,1306,,67,,
116,1481,,73,,
117,1480,,73,,
118,2740,,71,,
119,1320,,71,,
120,580,,82,,
121,640,,82,,
122,1402,,76,,
123,1469,,76,,
124,1280,,80,,
125,960,,80,,
126,2902,,96,,
127,16,,96,,
128,1060,,65,,
129,1305,,65,,
130,,,69,1.0,0.0
131,1546,,69,,
132,,,43,1.0,0.0
133,2100,,43,,
134,663,,86,,
135,1543,,86,,
136,3700,,126,,
137,2281,,126,,
138,1471,,136,,
139,480,,136,,
140,16,,88,,
141,2116,,88,,
142,1475,,90,,
143,1474,,90,,
144,2261,,91,,
145,2759,,91,,
146,1470,,92,,
147,4659,,92,,
148,,,75,1.0,0.0
149,2100,,75,,
150,0,,49,,
151,1387,,49,,
152,2736,,100,,
153,1480,,100,,
154,1386,,106,,
155,1305,,106,,
156,1716,,78,,
157,1316,,78,,
158,185,,68,,
159,1304,,68,,
160,424,,63,,
161,601,,63,,
162,3452,,81,,
163,1216,,81,,
164,20,,45,,
165,3760,,45,,
166,1378,,146,,
167,,,146,1.0,0.0
168,,,37,1.0,0.0
169,177,,37,,
170,1220,,77,,
171,,,77,1.0,0.0
172,1388,,98,,
173,,,98,1.0,0.0
174,3452,,104,,
175,,,104,1.0,0.0
176,356,,102,,
177,2320,,102,,
178,2996,,89,,
179,5056,,89,,
180,580,,85,,
181,424,,85,,
182,,,116,0.643564356436,0.356435643564
183,4653,,116,,
184,1315,,143,,
185,1394,,143,,
186,256,,105,,
187,2980,,105,,
188,4160,,51,,
189,1468,,51,,
190,1386,,114,,
191,1466,,114,,
192,,,118,1.0,0.0
193,1398,,118,,
194,4742,,93,,
195,1955,,93,,
